Time,IPAddress,Value,Type,Critic,Observe
37:19 ,fd00::c30c:0:0:1,19,temperature,0,35
37:21 ,fd00::c30c:0:0:1,11,temperature,0,36
37:23 ,fd00::c30c:0:0:1,3,temperature,0,37
37:25 ,fd00::c30c:0:0:1,-4,temperature,0,38
37:27 ,fd00::c30c:0:0:1,-10,temperature,0,39
37:29 ,fd00::c30c:0:0:1,-15,temperature,0,40
37:33 ,fd00::c30c:0:0:1,-19,temperature,0,41
37:39 ,fd00::c30c:0:0:1,-11,temperature,0,42
37:41 ,fd00::c30c:0:0:1,-5,temperature,0,43
37:43 ,fd00::c30c:0:0:1,2,temperature,0,44
37:45 ,fd00::c30c:0:0:1,10,temperature,0,45
37:49 ,fd00::c30c:0:0:1,2,temperature,0,46
37:51 ,fd00::c30c:0:0:1,-5,temperature,0,47
37:53 ,fd00::c30c:0:0:1,-11,temperature,0,48
37:55 ,fd00::c30c:0:0:1,-16,temperature,0,49
38:05 ,fd00::c30c:0:0:1,-10,temperature,0,50
38:07 ,fd00::c30c:0:0:1,-3,temperature,0,51
38:09 ,fd00::c30c:0:0:1,3,temperature,0,52
38:11 ,fd00::c30c:0:0:1,11,temperature,0,53
38:13 ,fd00::c30c:0:0:1,19,temperature,0,54
38:15 ,fd00::c30c:0:0:1,26,temperature,0,55
38:17 ,fd00::c30c:0:0:1,32,temperature,0,56
38:19 ,fd00::c30c:0:0:1,36,temperature,1,57
38:21 ,fd00::c30c:0:0:1,39,temperature,1,58
38:25 ,fd00::c30c:0:0:1,38,temperature,1,59
38:27 1
38:27 ,fd00::c30c:0:0:1,34,temperature,1,60
38:29 ,fd00::c30c:0:0:1,29,temperature,0,61
38:31 ,fd00::c30c:0:0:1,22,temperature,0,62
38:33 ,fd00::c30c:0:0:1,14,temperature,0,63
38:35 ,fd00::c30c:0:0:1,6,temperature,0,64
38:37 ,fd00::c30c:0:0:1,0,temperature,0,65
38:39 ,fd00::c30c:0:0:1,-7,temperature,0,66
38:41 ,fd00::c30c:0:0:1,-13,temperature,0,67
38:43 ,fd00::c30c:0:0:1,-17,temperature,0,68
38:51 ,fd00::c30c:0:0:1,-13,temperature,0,69
38:53 ,fd00::c30c:0:0:1,-7,temperature,0,70
38:55 ,fd00::c30c:0:0:1,0,temperature,0,71
38:57 ,fd00::c30c:0:0:1,6,temperature,0,72
38:59 ,fd00::c30c:0:0:1,14,temperature,0,73
39:01 ,fd00::c30c:0:0:1,22,temperature,0,74
39:03 ,fd00::c30c:0:0:1,29,temperature,0,75
39:05 ,fd00::c30c:0:0:1,34,temperature,1,76
39:07 ,fd00::c30c:0:0:1,38,temperature,1,77
39:09 ,fd00::c30c:0:0:1,39,temperature,1,78
39:13 ,fd00::c30c:0:0:1,36,temperature,1,79
39:15 ,fd00::c30c:0:0:1,32,temperature,1,80
39:17 ,fd00::c30c:0:0:1,26,temperature,0,81
39:19 ,fd00::c30c:0:0:1,19,temperature,0,82
39:21 ,fd00::c30c:0:0:1,11,temperature,0,83
39:23 ,fd00::c30c:0:0:1,3,temperature,0,84
39:25 ,fd00::c30c:0:0:1,-4,temperature,0,85
39:27 ,fd00::c30c:0:0:1,-10,temperature,0,86
39:29 ,fd00::c30c:0:0:1,-15,temperature,0,87
39:33 ,fd00::c30c:0:0:1,-19,temperature,0,88
39:39 ,fd00::c30c:0:0:1,-11,temperature,0,89
39:41 ,fd00::c30c:0:0:1,-5,temperature,0,90
39:43 ,fd00::c30c:0:0:1,2,temperature,0,91
39:45 ,fd00::c30c:0:0:1,10,temperature,0,92
39:49 ,fd00::c30c:0:0:1,2,temperature,0,93
39:51 ,fd00::c30c:0:0:1,-5,temperature,0,94
39:53 ,fd00::c30c:0:0:1,-11,temperature,0,95
39:55 ,fd00::c30c:0:0:1,-16,temperature,0,96
40:05 ,fd00::c30c:0:0:1,-10,temperature,0,97
